age,gender,income,education_level,purchase_frequency,avg_order_value,days_since_last_purchase,email_open_rate,loyalty_points,support_tickets
40,Female,68378.78,Bachelor,4,134.08,16,0.328,1201.0,1
39,Male,55817.05,Bachelor,7,228.35,14,0.503,4303.0,2
33,Non-binary,69589.94,Master,13,328.36,5,0.732,18659.0,1
37,Male,42035.9,Bachelor,3,59.35,21,0.909,1396.0,2
31,Female,36428.1,Master,1,22.7,105,0.28,489.0,3
50,Male,43909.26,Some College,1,16.66,69,0.411,842.0,1
45,Male,60554.82,Master,0,168.86,65,0.347,2203.0,4
54,Male,52558.74,Some College,0,224.16,137,0.284,3304.0,3
39,Non-binary,65836.36,Master,7,336.29,13,0.878,13614.0,1
36,Male,82772.26,Bachelor,5,65.19,19,0.768,2134.0,1
33,Female,57129.39,Bachelor,2,208.75,128,0.284,3973.0,1
30,Male,141087.34,High School,2,186.92,85,0.332,9272.0,2
37,Female,75610.45,Bachelor,8,186.44,1,0.845,8233.0,0
33,Female,65270.99,Some College,4,89.37,34,0.748,3653.0,1
60,Male,65853.22,Bachelor,7,73.08,34,0.506,5595.0,0
23,Female,26288.64,High School,2,20.45,104,0.277,432.0,1
38,Female,34225.06,Bachelor,1,253.91,101,0.157,4857.0,4
49,Female,54056.36,Some College,4,147.14,26,0.833,876.0,0
18,Female,35846.23,High School,1,11.28,55,0.229,368.0,0
47,Male,102885.8,Bachelor,3,136.35,12,0.487,1966.0,1
38,Female,108319.08,Bachelor,15,245.98,1,0.867,4181.0,1
29,Female,21572.62,Some College,1,52.59,56,0.43,362.0,1
40,Female,75840.55,Master,3,95.67,137,0.168,3556.0,0
53,Female,74800.22,Master,1,71.05,61,0.205,6697.0,3
21,Female,96126.73,Bachelor,8,345.98,7,0.751,5730.0,0
47,Female,53266.82,Bachelor,2,140.99,16,0.53,1307.0,2
52,Female,75562.86,Bachelor,9,315.25,10,0.876,12554.0,0
45,Female,72265.6,Bachelor,8,234.53,6,0.946,10070.0,0
46,Male,88092.93,Bachelor,5,116.05,12,0.687,6462.0,1
43,Female,36075.03,High School,2,15.5,85,0.097,532.0,0
42,Female,43309.04,Master,2,150.03,25,0.698,6283.0,1
30,Female,44151.25,High School,0,36.87,82,0.46,512.0,0
34,Male,42255.57,Some College,8,134.87,15,0.625,1750.0,0
49,Male,60542.28,Some College,4,79.44,9,0.447,2848.0,0
25,Female,35674.94,High School,1,64.65,67,0.115,352.0,2
26,Male,49758.62,High School,1,24.14,105,0.2,111.0,0
53,Male,77270.78,Bachelor,10,500.0,7,0.69,14554.0,1
31,Female,45655.61,Some College,0,49.87,49,0.244,187.0,2
39,Male,103193.38,Master,2,252.34,79,0.362,5060.0,2
50,Female,72900.19,Master,11,79.59,13,0.88,13909.0,1
36,Male,48110.03,Bachelor,5,37.62,24,0.229,2686.0,0
35,Male,72438.55,Master,5,259.75,12,0.938,6298.0,0
40,Non-binary,45853.21,High School,1,32.06,88,0.178,549.0,1
35,Female,75439.83,Master,2,130.79,117,0.235,8404.0,2
29,Non-binary,40806.36,Bachelor,8,122.62,11,0.851,2263.0,0
43,Female,41089.49,Master,2,171.32,71,0.192,1727.0,3
41,Female,26397.93,High School,0,44.27,63,0.27,164.0,0
38,Male,41692.03,Some College,5,197.16,33,0.185,436.0,0
34,Male,61416.97,Some College,4,55.11,21,0.85,206.0,2
50,Male,45994.57,Some College,1,60.9,79,0.278,6039.0,4
42,Male,86833.68,Master,8,340.63,6,0.937,14924.0,0
31,Female,44670.86,Bachelor,8,100.57,11,0.592,4220.0,1
23,Female,37618.1,Master,4,220.17,9,0.513,3070.0,0
33,Female,51986.01,Bachelor,4,57.52,10,0.561,3962.0,0
41,Female,72348.82,Master,9,296.82,12,0.926,4045.0,1
26,Male,51517.27,Master,1,192.24,16,0.309,2206.0,0
43,Female,31794.05,Some College,2,24.86,87,0.289,386.0,0
41,Female,37168.3,Master,2,350.34,68,0.363,4061.0,2
44,Male,47839.38,Some College,2,135.1,103,0.042,4038.0,5
28,Male,43184.03,Master,1,28.78,103,0.314,135.0,2
41,Male,59252.95,Bachelor,7,276.69,2,0.796,7928.0,0
35,Female,43433.64,High School,2,57.47,108,0.138,168.0,0
43,Female,52927.25,Bachelor,9,461.53,12,0.977,9313.0,1
38,Female,57113.76,Bachelor,7,133.09,20,0.618,4308.0,1
54,Female,78548.62,Master,9,315.13,12,0.791,7589.0,0
52,Male,61964.23,Some College,7,232.62,7,0.711,9266.0,0
48,Male,96881.06,Bachelor,0,105.73,91,0.419,3945.0,6
35,Female,32567.83,Bachelor,1,12.47,48,0.144,1309.0,0
46,Female,36027.01,Bachelor,2,372.02,144,0.125,4933.0,1
29,Male,64395.68,Some College,4,118.56,17,0.369,2356.0,1
26,Female,36254.18,Bachelor,1,28.68,92,0.2,340.0,0
40,Male,109013.67,Master,5,293.75,7,0.64,5911.0,0
58,Female,71031.4,Some College,3,243.8,24,0.384,3102.0,2
51,Female,51863.54,Some College,3,305.03,126,0.095,3008.0,4
27,Female,75575.45,Bachelor,3,124.46,60,0.138,4735.0,2
35,Male,50446.28,Bachelor,1,110.47,30,0.732,2350.0,1
30,Male,96503.05,Doctorate,3,321.07,89,0.376,3745.0,3
51,Non-binary,47420.01,Doctorate,4,64.49,23,0.601,5143.0,2
36,Female,62388.3,Master,6,364.49,1,0.974,5707.0,1
28,Female,54063.36,Some College,6,87.35,34,0.862,3469.0,1
25,Male,65287.82,High School,0,155.89,139,0.162,4833.0,4
38,Female,44838.55,Some College,2,90.07,109,0.113,243.0,2
28,Male,22693.88,Some College,1,8.55,57,0.427,557.0,2
53,Non-binary,50356.07,Bachelor,4,144.27,10,0.659,2135.0,2
43,Male,65404.34,Doctorate,4,381.48,68,0.335,3595.0,2
32,Male,46401.05,Some College,2,166.33,89,0.291,1422.0,2
54,Male,49470.33,Bachelor,10,363.73,10,0.786,8082.0,1
45,Male,48317.65,Bachelor,1,147.19,119,0.316,6534.0,5
39,Non-binary,51990.67,Some College,0,133.31,106,0.234,9488.0,4
50,Male,60045.65,Some College,10,452.62,4,0.569,8502.0,0
18,Female,57365.41,Bachelor,3,84.45,17,0.579,10763.0,2
50,Female,38153.12,High School,2,179.92,111,0.488,5871.0,2
53,Male,49014.59,Bachelor,5,453.29,2,0.836,9975.0,1
42,Female,44963.56,Doctorate,5,195.37,22,0.476,2014.0,0
29,Female,35611.43,Some College,1,13.4,84,0.42,1141.0,0
65,Female,76510.12,Some College,8,265.83,7,0.836,10790.0,0
38,Male,58265.76,Master,3,98.59,25,0.386,1692.0,1
31,Female,54042.23,Some College,4,127.72,141,0.252,7910.0,3
25,Female,40716.6,Some College,8,84.2,21,0.61,3143.0,2
34,Non-binary,23207.1,Master,0,19.78,83,0.43,441.0,1
59,Female,74545.01,Master,1,383.97,126,0.213,5372.0,2
31,Male,34312.09,High School,1,24.77,98,0.209,761.0,2
35,Male,42538.84,Some College,0,24.71,77,0.721,423.0,0
47,Female,82155.23,Bachelor,7,367.61,13,0.692,11089.0,0
71,Non-binary,28797.58,Master,2,218.21,68,0.21,7255.0,3
46,Male,27464.49,Some College,1,81.28,50,0.132,316.0,1
33,Male,78398.31,Bachelor,1,160.75,28,0.754,1743.0,1
36,Male,42622.79,Some College,1,369.85,83,0.216,2267.0,2
46,Male,71610.83,Some College,0,107.69,115,0.292,3835.0,4
46,Male,63473.25,High School,10,389.76,2,0.566,11229.0,0
32,Male,28102.77,Some College,0,27.82,64,0.367,373.0,0
25,Male,38346.27,Some College,1,43.15,65,0.442,138.0,1
42,Female,24935.29,Some College,6,55.42,11,0.363,1527.0,0
31,Female,30284.89,High School,0,60.38,92,0.402,264.0,3
57,Male,62402.86,Bachelor,7,227.94,13,0.805,7017.0,0
39,Female,56959.69,High School,1,34.13,119,0.445,410.0,3
54,Male,66219.43,Doctorate,8,259.38,11,0.916,11704.0,0
46,Female,65839.02,Master,10,315.81,6,0.74,3063.0,1
47,Female,74199.63,Master,15,500.0,6,0.816,13625.0,0
28,Male,29175.17,Bachelor,2,51.39,95,0.186,343.0,0
39,Female,52084.75,Bachelor,2,164.65,138,0.228,3553.0,3
45,Male,65734.44,Bachelor,6,252.0,7,0.625,7975.0,0
40,Male,81224.02,Master,4,450.37,13,0.387,7543.0,1
18,Male,44231.37,High School,2,37.04,83,0.156,1448.0,2
21,Male,37766.8,High School,1,83.3,80,0.141,44.0,2
51,Male,58306.49,Bachelor,2,170.37,149,0.395,3064.0,4
57,Female,53966.16,High School,6,112.73,31,0.664,4604.0,0
48,Male,51663.2,Bachelor,4,99.48,13,0.699,2451.0,0
60,Female,38902.52,Some College,2,302.29,19,0.63,3554.0,0
41,Male,60063.29,Bachelor,8,142.66,8,0.779,4977.0,0
29,Male,57366.93,Bachelor,5,122.88,138,0.463,1518.0,3
41,Female,61663.68,Some College,7,207.59,18,0.458,2715.0,0
47,Female,87189.49,Some College,1,316.23,68,0.158,3151.0,2
37,Female,36040.62,Some College,1,36.6,84,0.439,501.0,1
68,Female,100770.36,Some College,7,221.4,8,0.829,10351.0,0
45,Female,61762.39,Some College,13,389.88,7,0.847,5953.0,0
33,Non-binary,18497.07,High School,1,13.8,77,0.204,782.0,1
38,Male,56662.91,Some College,0,23.74,113,0.557,342.0,0
48,Non-binary,69225.99,Bachelor,8,103.16,13,0.676,2165.0,2
52,Male,68003.61,Master,2,84.72,95,0.483,5397.0,4
49,Male,70885.56,Bachelor,7,464.66,5,0.784,12944.0,0
45,Male,60892.77,Bachelor,4,124.33,105,0.147,4208.0,5
43,Female,46061.97,Doctorate,3,122.45,125,0.308,3664.0,4
35,Male,38472.68,Some College,2,116.92,10,0.814,3077.0,1
50,Male,33086.03,Master,3,117.84,71,0.201,3681.0,4
58,Male,31595.55,Bachelor,0,6.74,79,0.146,1455.0,0
38,Female,23595.67,High School,1,11.16,75,0.121,1689.0,0
29,Female,56936.74,Bachelor,0,146.26,147,0.383,2285.0,3
54,Female,79743.72,Doctorate,0,76.3,69,0.374,3825.0,6
26,Female,77847.17,Some College,8,,19,0.551,1793.0,0
59,Female,88825.82,Some College,12,161.75,7,0.902,12438.0,1
42,Female,710137.6464624357,Bachelor,9,500.0,10,0.751,7530.0,0
34,Female,79029.14,High School,4,180.63,129,0.322,4322.0,7
41,Female,53998.73,Some College,5,329.86,12,0.884,7736.0,0
38,Female,24456.46,Some College,4,274.84,34,0.471,5730.0,0
41,Female,35861.13,Bachelor,5,156.53,34,0.654,1023.0,1
41,Male,53313.39,Some College,4,121.26,33,0.374,1891.0,2
46,Female,56117.78,Master,13,378.7,10,0.799,4332.0,0
37,Female,77944.26,Doctorate,2,155.7,111,0.216,4447.0,6
35,Male,56996.84,Bachelor,0,203.59,13,0.56,4087.0,1
37,Female,61325.46,Doctorate,4,141.7,15,0.828,4378.0,2
57,Male,30553.15,Bachelor,6,50.82,11,0.606,1705.0,0
45,Male,85234.85,Some College,4,137.88,8,0.852,3696.0,0
37,Female,36813.02,High School,2,190.33,65,0.3,7171.0,2
49,Female,57057.34,Some College,1,43.38,81,0.508,114.0,0
45,Female,23097.34,Master,0,65.45,78,0.141,595.0,0
61,Non-binary,82035.89,Some College,10,500.0,3,0.858,8702.0,0
34,Male,54908.83,Some College,2,13.4,112,0.298,430.0,0
47,Male,56238.45,Master,4,316.3,124,0.214,1831.0,1
39,Male,57940.15,Doctorate,4,200.54,10,0.787,867.0,1
38,Non-binary,35604.31,Bachelor,1,14.96,107,0.15,307.0,1
33,Male,152994.34,High School,3,273.47,147,0.367,3168.0,3
36,Male,39656.9,High School,2,35.44,114,0.217,543.0,1
40,Female,46821.33,Some College,6,99.4,23,0.581,3602.0,3
24,Male,28435.09,High School,2,12.09,80,0.3,275.0,0
42,Female,28491.0,Bachelor,0,23.55,113,0.296,324.0,0
41,Female,35491.86,Some College,1,15.17,64,0.121,335.0,0
27,Female,41494.96,Master,1,30.97,60,0.344,130.0,1
43,Male,30471.22,Some College,3,32.44,52,0.336,499.0,1
40,Male,42083.57,Some College,1,18.06,85,0.241,695.0,1
43,Male,62141.03,Bachelor,4,130.24,4,0.851,15445.0,0
48,Male,60559.64,Bachelor,10,232.76,3,0.863,7996.0,0
41,Male,720726.9421152557,Bachelor,7,221.68,33,0.428,8248.0,0
39,Male,74913.82,Bachelor,3,50.52,26,0.882,1923.0,0
57,Female,71462.73,Master,10,468.3,11,0.746,10294.0,0
25,Male,43790.16,Master,3,78.98,148,0.176,3702.0,1
38,Female,39313.09,High School,1,213.49,139,0.191,4071.0,6
18,Male,39510.52,High School,0,13.41,75,0.218,566.0,0
36,Male,39039.98,Some College,2,26.29,89,0.084,158.0,0
42,Female,41828.98,Some College,3,54.94,22,0.508,3706.0,0
45,Male,77767.57,High School,3,101.5,26,0.793,1859.0,3
39,Female,63654.81,Some College,13,258.68,8,0.963,14098.0,0
35,Female,31214.74,Master,3,77.02,33,0.677,1434.0,1
36,Female,50825.79,Bachelor,1,26.17,94,0.337,295.0,1
38,Female,42920.55,Some College,2,141.51,19,0.696,1864.0,1
59,Female,78100.1,Master,13,214.57,11,0.851,12944.0,0
40,Female,29871.1,High School,1,25.74,65,0.226,1002.0,0
50,Female,49643.84,Some College,2,427.32,107,0.264,4004.0,4
34,Female,30038.5,High School,1,10.25,98,0.257,275.0,1
47,Female,52759.3,Some College,2,161.19,121,0.405,3428.0,3
34,Female,68093.23,Master,0,21.44,97,0.291,693.0,1
38,Female,32365.15,High School,3,240.85,120,0.181,6246.0,4
48,Male,108317.78,Bachelor,3,178.46,69,0.646,3243.0,0
44,Female,54948.54,Master,1,70.03,64,0.259,2080.0,0
48,Male,47453.02,High School,3,156.21,129,0.236,2047.0,4
32,Male,40249.84,Bachelor,5,231.47,142,0.329,2153.0,4
55,Male,66434.61,Bachelor,4,342.76,12,0.701,4639.0,0
52,Female,60226.32,Some College,3,228.83,147,0.079,5129.0,1
20,Male,39574.22,High School,0,68.59,94,0.201,2665.0,1
47,Female,70140.55,Master,20,423.53,7,0.879,8321.0,1
36,Female,85586.6,Bachelor,7,303.83,7,0.614,12426.0,0
60,Male,61983.38,High School,5,155.99,123,0.169,5374.0,4
22,Female,46222.71,Some College,9,107.84,31,0.552,2125.0,1
49,Male,45927.82,Bachelor,5,235.11,24,0.778,2394.0,1
60,Female,62204.88,Master,6,223.85,13,0.953,2127.0,0
39,Female,32093.08,Doctorate,6,195.83,29,0.595,521.0,1
43,Male,28141.06,Bachelor,1,19.1,70,0.319,869.0,1
48,Male,52146.31,Some College,4,131.81,32,0.527,6855.0,0
31,Male,48967.51,High School,3,142.09,9,0.717,1609.0,1
43,Female,51640.55,Bachelor,6,119.77,34,0.747,6821.0,3
38,Female,72434.08,Some College,1,30.55,17,0.807,670.0,3
54,Male,79755.71,Bachelor,4,62.4,16,0.706,2875.0,1
23,Male,49674.32,Bachelor,6,81.39,16,0.139,2993.0,1
38,Female,53232.67,Some College,7,210.91,28,0.731,5050.0,0
33,Female,76375.15,Doctorate,12,368.09,11,0.76,5993.0,0
41,Male,84782.51,Bachelor,5,161.39,24,0.433,1373.0,3
47,Male,61436.29,Bachelor,1,112.57,93,0.054,2751.0,1
29,Male,69107.62,Bachelor,2,221.15,103,0.302,3782.0,1
48,Male,57516.78,Bachelor,6,113.05,11,0.748,7262.0,1
26,Female,45925.03,Doctorate,6,101.18,25,0.603,2221.0,1
51,Female,76420.87,Some College,11,350.98,7,0.946,5255.0,0
37,Female,68018.86,Bachelor,1,216.26,76,0.482,2414.0,4
46,Female,80780.49,Master,13,235.75,5,0.683,7390.0,2
45,Male,45604.88,Master,5,179.3,128,0.091,5080.0,4
51,Male,79977.62,Master,13,366.95,5,0.856,12246.0,0
48,Female,53780.4,Bachelor,11,75.56,10,0.973,6195.0,0
39,Female,55086.01,Bachelor,4,246.79,34,0.641,5356.0,2
29,Female,90031.76,Master,13,295.92,9,0.822,6185.0,0
24,Male,42535.97,High School,0,33.06,112,0.38,479.0,0
44,Male,100757.46,Master,8,256.87,1,0.705,10788.0,0
35,Female,600449.9144003015,Bachelor,2,63.11,96,0.192,2397.0,3
38,Male,40166.61,High School,3,44.11,114,0.462,224.0,0
53,Male,86234.76,Bachelor,10,148.4,9,0.937,7042.0,2
38,Female,30131.13,Bachelor,3,46.4,79,0.201,608.0,0
30,Female,76473.85,Some College,7,475.62,3,0.959,16936.0,0
30,Male,33339.01,High School,0,105.07,55,0.297,130.0,2
36,Female,40060.47,Bachelor,0,148.12,97,0.583,4239.0,2
30,Male,62497.07,High School,1,132.12,50,0.293,511.0,0
59,Female,81895.93,High School,5,114.23,84,0.365,4574.0,2
35,Female,74946.03,Doctorate,4,196.25,84,0.345,2180.0,3
29,Female,73642.71,Master,14,259.56,13,0.716,7023.0,2
51,Male,40911.72,Some College,7,184.93,128,0.171,6008.0,1
27,Female,53869.7,Some College,0,193.17,117,0.195,4507.0,7
38,Female,67295.81,High School,4,85.1,131,0.096,3307.0,4
38,Male,59576.3,Bachelor,6,103.61,17,0.448,2632.0,2
47,Male,54816.82,Bachelor,9,244.76,12,0.687,6091.0,0
40,Female,30724.98,High School,2,66.52,78,0.168,1374.0,0
66,Female,79634.34,Doctorate,8,421.15,4,0.675,6219.0,0
34,Non-binary,21283.59,Some College,2,76.06,102,0.41,1941.0,0
41,Female,74024.59,Master,8,342.06,10,0.673,3918.0,1
35,Male,78121.37,Master,12,430.53,10,0.653,9555.0,0
50,Male,48855.46,Master,7,274.4,19,0.792,2156.0,0
49,Female,68805.9,Bachelor,7,269.72,7,0.972,6633.0,0
19,Female,41736.35,Some College,6,348.72,109,0.061,2067.0,2
44,Male,50790.25,High School,2,338.21,142,0.118,1231.0,0
30,Male,55452.88,High School,5,58.85,30,0.839,1647.0,1
51,Female,83144.58,Doctorate,11,100.56,8,0.889,9773.0,0
45,Male,66925.57,Bachelor,1,233.19,70,0.236,3100.0,4
50,Male,52522.57,High School,1,73.55,89,0.02,182.0,0
30,Non-binary,31381.58,High School,1,58.09,74,0.543,393.0,0
38,Female,35277.55,Some College,2,22.86,81,0.252,437.0,2
47,Female,46980.9,Bachelor,7,85.93,8,0.884,7957.0,0
23,Female,77066.8,Bachelor,2,117.23,33,0.686,270.0,0
29,Female,50957.62,Doctorate,5,128.35,129,0.411,5244.0,2
45,Male,124195.43,Master,13,404.86,12,0.941,5194.0,2
33,Female,49839.31,Some College,5,178.41,22,0.31,3198.0,1
28,Female,48704.95,Bachelor,2,152.25,145,0.452,2915.0,2
50,Female,33322.92,Bachelor,3,138.04,142,0.291,4985.0,2
47,Male,65041.26,Master,3,47.25,22,0.785,512.0,1
46,Female,44092.0,Some College,0,152.19,27,0.448,2148.0,1
21,Female,59623.67,Bachelor,4,86.85,24,0.632,1135.0,3
28,Male,56868.81,Some College,1,68.76,55,0.328,,2
58,Female,39410.29,Some College,2,60.03,70,0.1,178.0,1
48,Male,48376.5,Some College,2,54.28,119,0.566,2330.0,1
38,Male,39580.5,High School,4,173.79,16,0.701,2627.0,0
41,Male,54631.01,Bachelor,6,140.01,14,0.538,2663.0,0
28,Female,86760.07,Some College,6,219.19,4,0.944,10941.0,1
45,Male,99865.56,Bachelor,16,153.2,10,0.618,4960.0,0
32,Female,60472.71,Bachelor,1,91.81,147,0.322,3798.0,1
33,Male,57676.19,Some College,0,162.25,143,0.343,5785.0,5
25,Male,44623.04,Bachelor,8,84.0,23,0.522,2876.0,1
34,Male,45172.32,Some College,1,111.28,34,0.812,1185.0,1
43,Female,48938.33,Bachelor,2,121.85,110,0.05,7372.0,2
53,Male,79810.06,Some College,11,205.96,6,0.942,5392.0,0
29,Female,45836.6,Bachelor,0,371.28,105,0.306,1299.0,2
24,,41972.38,Some College,2,12.22,68,0.414,375.0,1
31,Female,56804.75,Master,2,101.02,62,0.174,3261.0,3
33,Female,97490.21,Some College,14,500.0,8,0.944,7329.0,0
18,Female,45650.96,High School,1,64.83,55,0.219,890.0,0
45,Female,75253.01,Bachelor,8,298.08,8,0.635,2925.0,1
45,Male,89801.07,Some College,7,230.94,12,0.824,6167.0,1
32,Male,50621.32,Some College,0,19.74,73,0.358,378.0,0
40,Non-binary,61710.16,Master,5,79.58,15,0.825,3393.0,0
34,Female,50275.91,Some College,2,140.54,70,0.222,3514.0,1
38,Female,66722.82,Some College,1,83.78,21,0.509,4945.0,2
47,Female,53016.99,Doctorate,3,74.47,12,0.645,1806.0,1
48,Female,65129.67,Bachelor,6,240.19,7,0.361,4819.0,0
44,Male,34968.56,Some College,4,104.88,24,0.42,5826.0,1
39,Male,45039.39,Master,1,229.17,92,0.24,5193.0,1
26,Male,75837.87,Bachelor,2,370.72,146,0.194,3132.0,3
31,Female,30246.06,Bachelor,3,47.88,93,0.095,1255.0,1
25,Female,85895.59,High School,3,115.31,86,0.312,4931.0,2
34,Male,86867.39,Bachelor,2,201.12,97,0.243,6079.0,1
50,Male,31354.01,Bachelor,2,217.39,30,0.904,4701.0,1
40,Female,39508.07,Doctorate,0,163.99,103,0.636,1995.0,3
34,Female,42436.0,Some College,0,80.96,119,0.118,1999.0,0
18,Female,53717.78,Some College,2,150.36,114,0.22,3114.0,3
30,Male,48894.26,Doctorate,7,428.89,13,0.971,7293.0,1
34,Male,72957.78,Bachelor,9,134.76,4,0.752,7894.0,0
30,Female,22868.78,Some College,0,32.11,102,0.137,332.0,1
35,Male,37409.67,Some College,1,182.87,126,0.37,2738.0,3
37,Male,,Bachelor,3,5.64,104,0.465,726.0,0
